tomi adeyemi,Children of Blood and Bone
kami garcia,Beautiful Redemption
hoover colleen,Losing Hope
sara shepard,Burned (SS)
amy zhang,Falling into Place
megan rapinoe,One Life
a. s. a. harrison,The Silent Wife
ness patrick,The Rest of Us Just Live Here
colson whitehead,The Underground Railroad
frank portman,King Dork
tony allan,Titans and Olympians: Greek and Roman Myth
kara lee corthron,The Truth of Right Now
diana gabaldon,A Breath of Snow and Ashes
miller linsey,Mask of Shadows
lisa greenwald,Sweet Treats and Secret Crushes
king stephen,End of Watch
aveyard victoria,War Storm
susan howatch,Cashelmara
weis margaret,Forging the Darksword
wolff tracy,Crave
lu marie,Champion
king stephen,Revival
francesca lia block,Teen Spirit
ryan gebhart,Of Jenny and the Aliens
claire needell,The Word for Yes
jennifer l. armentrout,Grace and Glory
klavan andrew,Don't Say a Word
rowser jamila,Wash Day Diaries
bracken alexandra,The Darkest Minds
cyndy drew etler,The Dead Inside
dasgupta sayantani,Debating Darcy
kris radish,The Elegant Gathering of White Snows
kouyu shurei,Alichino
smythe rachel,Lore Olympus: Volume Two
a. s. king,Glory O'Brien's History of the Future
rossi veronica,Through the Ever Night
noah trevor,Born a Crime: Stories from a South African Childhood
william l. ury,The Third Side: Why We Fight and How We Can Stop
maracho cristina,Good Idea
marsha forchuk skrypuch,Making Bombs for Hitler
mackler carolyn,Tangled
lore pittacus,The Power of Six
young suzanne,The Treatment
gregory philippa,The Boleyn Inheritance
hoover colleen,Ugly Love
bray libba,Lair of Dreams
rick riordan,The Mark of Athena
meg cabot,How to Be Popular
pat conroy,The Lords of Discipline
lisa scottoline,Final Appeal
alicia d. williams,Genesis Begins Again
nol alyson,Night Star
ron koertge,Boy Girl Boy
myers jason,Dead End
alex sanchez,Bait
do anh,WeirDo Series: Mega Weird!
black holly,Geektastic: Stories from the Nerd Herd
c. c. hunter,Taken at Dusk
nina lacour,Hold Still
cecily von ziegesar,Tempted (CVZ)
rick riordan,The Dark Prophecy
ward david,Escape the Mask
francesca lia block,Goat Girls: Two Weetzie Bat Books
cohn rachel,Dash and Lily's Book of Dares
steel danielle,The Gift (DS)
p. c. cast,Neferet's Curse
gena showalter,Evil Queen
amber j. keyser,No More Excuses: Dismantling Rape Culture
rex ogle,Punching Bag
laurie halse anderson,The Impossible Knife of Memory
mary mccarthy,How I Grew
brent hartinger,Geography Club
milan kundera,The Unbearable Lightness of Being
linda sue park,A Long Walk to Water: Based on a True Story
saraciea j. fennell,Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora
j. p. delaney,The Girl Before
clayton dhonielle,The Rumor Game
mead richelle,Vampire Academy (A Graphic Novel)
cormac mccarthy,The Road
shaun david hutchinson,Feral Youth
cecil castellucci,Tin Star
moss marissa,Caravaggio: Painter on the Run
j.k. rowling,The Casual Vacancy
richard appignanesi,Manga Shakespeare: A Midsummer Night's Dream
henri charrire,Papillon
gabriel garca mrquez,One Hundred Years of Solitude
maggie stiefvater,Shiver
harris joanne,Chocolat
flom jason,Lulu is a Rhinoceros
