foley jessie ann,The Carnival at Bray
l. moore darnell,No Ashes in the Fire: Coming of Age Black and Free in America
meyer marissa,Fairest: Levana's Story (The Lunar Chronicles Series)
ruta sepetys,Between Shades of Gray
niven jennifer,Breathless
s. turner pamela,Hachiko: The True Story of a Loyal Dog
p. c. cast,Destined (House of Night Series)
adib khorram,Darius the Great Is Not Okay (Darius the Great Series)
julie murphy,Ramona Blue
lamar giles,Not So Pure and Simple
tess sharpe,The Girls I've Been
stan stanley,Bright World (The Hazards of Love Series)
crdova zoraida,Wayward Witch (Brooklyn Brujas Series)
robert sharenow,The Berlin Boxing Club
hutchinson shaun david,The Five Stages of Andrew Brawley
j. lawrence lisa,Trail of Crumbs
ingrande mora maria,Fragile Remedy
doreen rappaport,Wilma's Way Home: The Life of Wilma Mankiller
jewell parker rhodes,Bayou Magic (The Louisiana Girls Trilogy Series)
nic stone,Dear Martin
robin talley,Pulp
william golding,Lord of the Flies
ellen hopkins,The You I've Never Known
pau preto nicki,Crown of Feathers (Crown of Feathers Series)
myers walter dean,Dope Sick
jacobs donald trent,Teaching Truly: A Curriculum to Indigenize Mainstream Education
maulik pancholy,The Best at It
lo malinda,Ash
kaito blue flag,Vol. 4 (Blue Flag Series)
sarah j. maas,A ​Court of Silver Flames (A Court of Thorns and Roses Series)
barnes derrick,I Am Every Good Thing
love jessica,Julián at the Wedding (Julián Series)
megan stine,Who Is Michelle Obama? (Who was...? Series)
howe james,Totally Joe (The Misfits Series)
lauren myracle,Victor and Nora: A Gotham Love Story
adam silvera,They Both Die at the End
nancy garden,Annie on My Mind
tony medina,I Am Alfonso Jones
prez ashley hope,Out of Darkness
todd parr,Esta bien ser diferente/It's Okay to Be Different (Spanish Version)
tyler curry,A Peacock Among Pigeons
m. draper sharon,Darkness Before Dawn
david williams,The Boy in the Dress
sara benincasa,Great
woods brenda,My Name Is Sally Little Song
marsh sarah glenn,The Girls Are Never Gone
alyssa brugman,Alex As Well
lynn joseph,The Color of My Words
author,Title
forest laurie,The Black Witch
deborah harkness,Shadow of Night
diana athill,Somewhere Towards the End
clare cassandra,Chain Of Iron
reyes sonora,The Lesbiana's Guide to Catholic School
amy ignatow,The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang
ian mcewan,On Chesil Beach
suzanne brockmann,Over the Edge
dav pilkey,Captain Underpants and the Sensational Saga of Sir Stink-a-Lot
mary higgins clark,Moonlight Becomes You
alex flinn,Bewitching
dunn pintip,Dating Makes Perfect
archer jeffrey,Sons of Fortune
ostrom melissa,The Beloved Wild
rees celia,This is Not Forgiveness
rin chupeco,The Never Tilting World
david levithan,The Realm of Possibility
coontz stephanie,The Way We Never Were: American Families and the Nostalgia Trap
diana gabaldon,An Echo in the Bone
king stephen,Skeleton Crew
summers courtney,The Project
james ellroy,The Black Dahlia
daria snadowsky,Anatomy of a Single Girl
kidd jess,Things in Jars
goodman jessica,They Wish They Were Us
hirsh ananth,Lucky Penny
rice anne,Queen of the Damned
small david,Home After Dark
chbosky stephen,The Perks of Being a Wallflower
jo knowles,See You at Harry's
joshua hanagarne,The World's Strongest Librarian: A Book Lover's Adventures
k. ancrum,Murder of Crows
lauren myracle,The Infinite Moment of Us
sarah pinborough,13 Minutes
v.c. andrews,If There Be Thorns
morris brittney,Slay
sid jacobson,Anne Frank: The Anne Frank House Authorized Graphic Biography
john milton,Paradise Lost and Paradise Regained
francesca lia block,I Was a Teenage Fairy
alok vaid-menon,Beyond the Gender Binary
kim hyun sook,Banned Book Club
tommy wallach,We All Looked Up
jack henry abbott,In the Belly of the Beast: Letters From Prison
allison anthony,Hear These Voices: Youth at the Edge of the Millennium
robin bridges,Dreaming of Antigone
perkins stephanie,Anna and the French Kiss
geoff tibbals,Ripley's Believe It or Not!: Shatter Your Senses!
amy ignatow,The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang
king stephen,The Girl Who Loved Tom Gordon
peirce lincoln,Big Nate: A Good Old-Fashioned Wedgie
john m. cusick,Cherry Money Baby
king stephen,Dreamcatcher
nicky silver,The Food Chain (Play)
king stephen,The Waste Lands
maya angelou,Singin' and Swingin' and Gettin' Merry Like Christmas
janet nichols lynch,Messed Up
julie murphy,Ramona Blue
orson scott card,Shadow of the Hegemon
diana gabaldon,Written in My Own Heart's Blood
maya angelou,I Know Why The Caged Bird Sings
susan campbell bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group
e. l. james,Fifty Shades of Grey
kylie schachte,You're Next
scarlett st. clair,King of Battle and Blood
sara shepard,Flawless
leah scheier,The Last Words We Said
stein tammar,Light Years
michael crichton,Micro
maya angelou,Now Sheba Sings the Song
keith richards,Life
woodson jacqueline,Red at the Bone
marsha forchuk skyrpuch,Stolen Girl
mason deaver,The Feeling of Falling in Love
jack kerouac,The Dharma Bums
amy reed,The Nowhere Girls
colin p. clarke,Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare
louise rennison,Are These My Basoomas I See Before Me: Fab Final Confessions of Georgia Nicolson
khan sabina,The Love and Lies of Rukhsana Ali
flynn gillian,The Grownup
sam moussavi,Hoop City: Chicago
james nelson,On the Volcano
tatiana de rosnay,A Secret Kept
krensky stephen,Leonardo da Vinci
jennifer l. armentrout,Opposition
c. s. lewis,That Hideous Strength: A Modern Fairy-Tale for Grown-Ups
murphy monica,Playing Hard to Get
orson scott card,Ender's Shadow
sarah j. maas,Kingdom of Ash
ann brashares,The Second Summer Of The Sisterhood
christina hammonds reed,The Black Kids
todd anna,After We Collided
e. lockhart,Fly on the Wall: How One Girl Saw Everything
jim ottaviani,The Imitation Game: Alan Turing Decoded
matson morgan,Since You've Been Gone
angie thomas,The Hate U Give
stead rebecca,The List of Things That Will Not Change
cammie mcgovern,Say What You Will
erik j. brown,All That's Left in the World
marcus emerson,Recess Warriors: Hero Is A Four-Letter Word
peirce lincoln,Big Nate: The Crowd Goes Wild
steven brezenoff,The Absolute Value of -1
art spiegelman,Maus 1: A Survivor's Tale: My Father Bleeds History
andrea robertson,Snakeroot
orlagh collins,All the Invisible Things
lauren barnholdt,Two-Way Street
klass david,You Don't Know Me
garber romina,Lobizona
cronin justin,The Passage
sophie kinsella,Confessions of a Shopaholic
patricia mccormick,Cut
octavia e. butler,Kindred: A Graphic Novel Adaptation
king stephen,Christine
wells rebecca,Divine Secrets of the Ya-Ya Sisterhood
clayton dhonielle,Blackout
robert shapard,Sudden Fiction: American Short Stories
kacen callender,Hurricane Child
john burdett,Bangkok 8
leigh bardugo,Wonder Woman: Warbringer
king stephen,Elevation
meg cabot,Insatiable
meg cabot,Princess in Training
noyes deborah,Plague in the Mirror
melissa de la cruz,Bloody Valentine
kyle lukoff,When Aidan Became a Brother
amie kaufman,Illuminae
true kelley,Who Is Dolly Parton?
ilsa j. bick,Monsters
emily bronte,Wuthering Heights
marilyn reynolds,Too Soon For Jeff
steel danielle,Lightning
king stephen,Sleeping Beauties
yoon nicola,Everything Everything
stacey wallace benefiel,Glimpse: A YA Paranormal Romance
judith rossner,Perfidia
steve brewer,Monkey Man
kathi appelt,Keeper
maryann jacob macias,Téo's Tutu
brandy colbert,Finding Yvonne
kathy stinson,101 Ways to Dance
david macaulay,The Way We Work: Getting to Know the Amazing Human Body
claire lazebnik,Wrong About the Guy
beth revis,Across the Universe
mcgee katharine,Reign
aidan chambers,Postcards From No Man's Land
claire legrand,Sawkill Girls
bray libba,Before the Devil Breaks You
diana gabaldon,Dragonfly in Amber
creech sharon,Walk Two Moons
dee barbara,Maybe He Just Likes You
tomi adeyemi,Children of Blood and Bone
kami garcia,Beautiful Redemption
hoover colleen,Losing Hope
sara shepard,Burned (SS)
amy zhang,Falling into Place
megan rapinoe,One Life
a. s. a. harrison,The Silent Wife
ness patrick,The Rest of Us Just Live Here
colson whitehead,The Underground Railroad
frank portman,King Dork
tony allan,Titans and Olympians: Greek and Roman Myth
kara lee corthron,The Truth of Right Now
diana gabaldon,A Breath of Snow and Ashes
miller linsey,Mask of Shadows
lisa greenwald,Sweet Treats and Secret Crushes
king stephen,End of Watch
aveyard victoria,War Storm
susan howatch,Cashelmara
weis margaret,Forging the Darksword
wolff tracy,Crave
lu marie,Champion
king stephen,Revival
francesca lia block,Teen Spirit
ryan gebhart,Of Jenny and the Aliens
claire needell,The Word for Yes
jennifer l. armentrout,Grace and Glory
klavan andrew,Don't Say a Word
rowser jamila,Wash Day Diaries
bracken alexandra,The Darkest Minds
cyndy drew etler,The Dead Inside
dasgupta sayantani,Debating Darcy
kris radish,The Elegant Gathering of White Snows
kouyu shurei,Alichino
smythe rachel,Lore Olympus: Volume Two
a. s. king,Glory O'Brien's History of the Future
rossi veronica,Through the Ever Night
noah trevor,Born a Crime: Stories from a South African Childhood
william l. ury,The Third Side: Why We Fight and How We Can Stop
maracho cristina,Good Idea
marsha forchuk skrypuch,Making Bombs for Hitler
mackler carolyn,Tangled
lore pittacus,The Power of Six
young suzanne,The Treatment
gregory philippa,The Boleyn Inheritance
hoover colleen,Ugly Love
bray libba,Lair of Dreams
rick riordan,The Mark of Athena
meg cabot,How to Be Popular
pat conroy,The Lords of Discipline
lisa scottoline,Final Appeal
alicia d. williams,Genesis Begins Again
nol alyson,Night Star
ron koertge,Boy Girl Boy
myers jason,Dead End
alex sanchez,Bait
do anh,WeirDo Series: Mega Weird!
black holly,Geektastic: Stories from the Nerd Herd
c. c. hunter,Taken at Dusk
nina lacour,Hold Still
cecily von ziegesar,Tempted (CVZ)
rick riordan,The Dark Prophecy
ward david,Escape the Mask
francesca lia block,Goat Girls: Two Weetzie Bat Books
cohn rachel,Dash and Lily's Book of Dares
steel danielle,The Gift (DS)
p. c. cast,Neferet's Curse
gena showalter,Evil Queen
amber j. keyser,No More Excuses: Dismantling Rape Culture
rex ogle,Punching Bag
laurie halse anderson,The Impossible Knife of Memory
mary mccarthy,How I Grew
brent hartinger,Geography Club
milan kundera,The Unbearable Lightness of Being
linda sue park,A Long Walk to Water: Based on a True Story
saraciea j. fennell,Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora
j. p. delaney,The Girl Before
clayton dhonielle,The Rumor Game
mead richelle,Vampire Academy (A Graphic Novel)
cormac mccarthy,The Road
shaun david hutchinson,Feral Youth
cecil castellucci,Tin Star
moss marissa,Caravaggio: Painter on the Run
j.k. rowling,The Casual Vacancy
richard appignanesi,Manga Shakespeare: A Midsummer Night's Dream
henri charrire,Papillon
gabriel garca mrquez,One Hundred Years of Solitude
maggie stiefvater,Shiver
harris joanne,Chocolat
flom jason,Lulu is a Rhinoceros
mary anne shaffer,The Guernsey Literary and Potato Peel Pie Society
p. c. cast,Burned (PCC)
john grisham,A Painted House
sparks nicholas,The Lucky One
colleen a. f. venable,Kiss Number 8
reeve philip,Fever Crumb
george ella lyon,Dreamplace
ann brashares,Girls In Pants: The Third Summer Of The Sisterhood
scott libby,Can You See Me?
larry watson,Montana 1948
jordan sonnenblick,Zen and the Art of Faking It
hoover colleen,Hopeless
cat clarke,The Pants Project
george r. r. martin,A Feast for Crows
kara thomas,That Weekend
juliet marillier,Daughter of the Forest
antonia michaelis,Dragons of Darkness
ken follett,The Man from St. Petersburg
zinn howard,A People's History of the United States
xiran jay zhao,Iron Widow
juno dawson,This Book Is Gay
anna godberson,Envy
maguire gregory,Wicked: Memorias de una bruja mala
couch robbie,Blaine for the Win
crew linda,Brides of Eden: A True Story Imagined
sass adam,Surrender Your Sons
melissa de la cruz,Gates of Paradise
kurt vonnegut,Slaughterhouse-Five
lolly winston,Happiness Sold Separately
john brindley,The Rule of Claw
mindy mcginnis,Heroine
james patterson,Sail
hoover colleen,Maybe Someday
cook karin,What Girls Learn
kevin panetta,Bloom
do anh,WeirDo Series: Vote Weirdo
iturbe antonio,The Librarian of Auschwitz
aaron starmer,Spontaneous
jeff zentner,In the Wild Light
janet tashjian,Fault Line
john barnes,Tales of the Madman Underground
ormsbee kathryn,Candidly Cline
phil stamper,The Gravity of Us
kevin brooks,Lucas
nora roberts,Birthright
matson morgan,Amy and Roger's Epic Detour
geraldine mccaughrean,Where the World Ends
smythe rachel,Lore Olympus: Volume Three
louise rennison,Stop in the Name of Pants!
feder tyler,Dancing at the Pity Party: A Dead Mom Graphic Memoir
jennifer a. nielsen,The Traitor's Game
iles greg,Blood Memory
dusti bowling,Insignificant Events In The Life Of A Cactus
elle cosimano,Nearly Found
isabel sterling,These Witches Don't Burn
sara shepard,Unbelievable
lynch chris,Killing Time in Crystal City
cecily von ziegesar,It Had To Be You
noone gabby,Layoverland
claire legrand,Furyborn
jennifer lynn barnes,Killer Spirit
james dashner,The Maze Runner
stephen r. donaldson,The One Tree
donna kauffman,The Big Bad Wolf Tells All
mindy mcginnis,In a Handful of Dust
henry emily,The Love that Split the World
lisa bunker,Zenobia July
susan dennard,Truthwitch
david benioff,City of Thieves (DB)
hale shannon,Friends Forever
meg cabot,Ready or Not
mary h.k. choi,Yolk
clare cassandra,Chain Of Thorns
avery monsen,All My Friends Are Dead
mafi tahereh,Imagine Me
janet evanovich,Plum Lovin
james w. bennett,Plunking Reggie Jackson
sarah j. maas,Crown of Midnight
coben harlan,Home
kody keplinger,Shut Out
stasia ward kehoe,The Sound of Letting Go
susan beth pfeffer,This World We Live In
tehlor kay mejia,We Set the Dark on Fire
king stephen,Different Seasons: Four Novellas
puzo mario,The Family
rowell rainbow,Fangirl
stieg larsson,The Girl Who Played with Fire
oppel kenneth,Every Hidden Thing
natalie c. anderson,Let's Go Swimming on Doomsday
stansbie stephanie,My Friends and Me
maria isabel sanchez vegara,Elton John
sara gruen,Water for Elephants
han jenny,Ashes to Ashes
patricia c. wrede,Dealing with Dragons
newth mette,The Dark Light
anne mccaffrey,The White Dragon
fahy thomas,Sleepless
ken follett,The Pillars of the Earth
diana gabaldon,The Fiery Cross
mark oshiro,Anger Is a Gift
savit gavriel,Anna and the Swallow Man
meg cabot,Victoria and the Rogue
walker richard,Human Body: a visual encyclopedia
burgan michael,The Curse of King Tut's Tomb
andrea robertson,Rise
armas elena,Spanish Love Deception
hoover colleen,All Your Perfects
uwem akpan,Say You're One of Them
iris johansen,Fatal Tide
ruta sepetys,Out of the Easy
kimberly brubaker bradley,The War that Saved My Life
nancy werlin,Impossible
woodson jacqueline,Another Brooklyn
lynch chris,Inexcusable
alane ferguson,The Circle of Blood
emmy laybourne,Monument 14: Sky On Fire
chee traci,We Are Not Free
mead richelle,Blood Promise
cecily von ziegesar,The It Girl
f. t. lukens,In Deeper Waters
maln. alegra,Sofi Mendoza's Guide to Getting Lost in Mexico
king stephen,The Gunslinger
cecily von ziegesar,I Like it Like That
laura marx fitzgerald,Under the Egg
love jessica,Julián at the Wedding
lauren myracle,ttyl
laura hopper,I Never
kate messner,Chirp
quin sara,High School
alameda courtney,Seven Deadly Shadows
verdi jessica,And She Was
meyer marissa,Serendipity: Ten Romantic Tropes Transformed
adams douglas,So Long and Thanks for All the Fish
sarah j. maas,Queen of Shadows
ayn rand,Atlas Shrugged
jayne ann krentz,The Pirate
huff tanya,The Enchantment Emporium
resau laura,Red Glass
golden arthur,Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha)
hoover colleen,Maybe Not
wendy markham,Slightly Single
mason deaver,I Wish You All the Best
steve parker,Super Human Encyclopedia: Discover the Amazing Things Your Body Can Do
cokal susann,The Kingdom of Little Wounds
r. j. anderson,Ultraviolet
niki smith,The Deep and Dark Blue
blake kendare,Five Dark Fates
adoff jaime,Names Will Never Hurt Me
e.l. james,Fifty Shades Darker
kaiu shirai,The Promised Neverland
kate elliott,Buried Heart
bich minh nguyen,Stealing Buddha's Dinner: A Memoir
susane colasanti,All I Need
nathan d. wilson,The Dragon's Tooth
huxley aldous,Brave New World Revisited
stanley tookie williams,Life In Prison
king stephen,The Dark Half
reyna grande,The Distance Between Us: A Memoir
daud somaiya,Mirage
sarah j. maas,Throne of Glass
michelle ruiz keil,All of Us with Wings
chris colfer,A Tale of Witchcraft
clare cassandra,City of Fallen Angels
adams douglas,The Restaurant at the End of the Universe
golden arthur,Memoirs of a Geisha
cormac mccarthy,No Country for Old Men
vivs bastien,Last Man: The Royal Cup
tim o'brien,The Things They Carried
nd stevenson,Nimona
aida salazar,The Moon Within
rice anne,The Tale of a Body Thief
ponti james,Dead City
c. b. lee,A Clash of Steel: A Treasure Island Remix
sarah j. maas,A Court of Frost and Starlight
james franco,Palo Alto: Stories
hoover colleen,Without Merit
chelo manchego,The Want Monsters: And How They Stopped Ruling My World
peter ackerman,Things You Shouldn't Say Past Midnight: A Comedy in Three Beds
gail carriger,Soulless
cherry alison,For Real
david levithan,Two Boys Kissing
ann patchett,Bel Canto
amy ignatow,The Less-Than-Hidden Secrets and Final Revelations of Lydia Goldblatt and Julie Graham-Chang
tom birdseye,Attack of the Mutant Underwear
hoover colleen,November 9
anastasia higginbotham,Not My Idea: A Book About Whiteness
jerry spinelli,There’s a Girl in My Hammerlock
jodi picoult,Perfect Match
sam moussavi,Hoop City: Detroit
black holly,The Wicked King
marrin albert,A Volcano Beneath the Snow: John Brown's War Against Slavery
jonathan kellerman,A Measure of Darkness
judy blundell,What I Saw and How I Lied
kate lauren,Torment
chuck palahniuk,Haunted
sara shepard,Killer
john irving,The World According to Garp
daz junot,The Brief Wondrous Life of Oscar Wao
rodman philbrick,Freak the Mighty
maguire gregory,Cress Watercress
mahogany l. browne,Woke: A Young Poets Call to Justice
alex willan,Unicorns Are the Worst!
leigh bardugo,Siege and Storm
shaun david hutchinson,The Apocalypse of Elena Mendoza
ann patchett,State of Wonder
ibi zoboi,Black Enough: Stories of Being Young and Black in America
ward rachel,Infinity
brandon sanderson,Firefight
cecily von ziegesar,Nothing Can Keep Us Together
terry catasus jennings,Knight of the Cape: Definitely Dominguita
coe booth,Bronxwood
gwyn hyman rubio,Icy Sparks
e. r. frank,Life is Funny
bryan stevenson,Just Mercy
orwell george,1984
mahogany l. browne,Chlorine Sky
holly jackson,As Good as Dead
james patterson,Honeymoon
meg cabot,The Princess Present: A Princess Diaries Book
t.c. boyle,The Best American Short Stories 2015
kelman judith,After the Fall
ward rachel,The Chaos
harris charlaine,Living Dead in Dallas
rachael lippincott,The Lucky List
michele campbell,It's Always the Husband
a. g. howard,Untamed (AGH)
one title not specified),One-Punch Man (Series
donnelly jennifer,Stepsister
gayle forman,Just One Year
plath sylvia,The Bell Jar
sones sonya,What My Mother Doesn't Know
octavia e. butler,Kindred
thrash maggie,We Know It Was You
ng celeste,Little Fires Everywhere
black holly,The Queen of Nothing
connor leslie,The Truth As Told By Mason Buttle
norton preston,Neanderthal Opens the Door to the Universe
jason reynolds,All American Boys
brian conaghan,When Mr. Dog Bites
deb caletti,One Great Lie
jennifer a. nielsen,Words on Fire
tim federle,Better Nate Than Ever
starr cecie,Biology: The Unity and Diversity of Life
lee sandra,Recipe Box
vivan siobhan,Same Difference
frazier charles,Cold Mountain
paul langan,Search for Safety
e. lockhart,Genuine Fraud
marie rutkoski,The Midnight Lie
neil gaiman,American Gods
kelly jensen,(Don't) Call Me Crazy: 33 Voices Start the Conversation
alice walker,The Color Purple
kurt vonnegut,Player Piano
ellen hopkins,Identical
cammie mcgovern,Just Breathe
lynn picknett,The Templar Revelation: Secret Guardians of the True Identity of Christ
laura j. burns,Sanctuary Bay
rachel hartman,Tess of the Road
rice anne,Lasher
gay roxane,Not That Bad: Dispatches from Rape Culture
mindy mcginnis,A Madness So Discreet
king stephen,The Dead Zone
sara tuvel bernstein,The Seamstress: A Memoir of Survival
nancy springer,The Case of the Peculiar Pink Fan
yarros rebecca,Fourth Wing
hannah kristin,Distant Shores
ruby bridges,Through My Eyes
clare cassandra,City of Bones
robin lafevers,Mortal Heart
amir. abrams,Crazy Love
j. courtney sullivan,Commencement
alice walker,The Temple of My Familiar
jodi picoult,Salem Falls
pamela j. ball,The Complete Book of Dreams and Dreaming
clayton dhonielle,The Belles
jake maia arlow,Almost Flying
newth mette,The Transformation
bryan lee o'malley,Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe
julie anne peters,Between Mom and Jo
nick earls,After Summer
peirce lincoln,Big Nate: I Can’t Take It
summers courtney,Sadie
amy giles,That Night
ned vizzini,It's Kind of a Funny Story
emma mae jenkins,Be Loved
peggy roberts,Whispers at Midnight
knoll jessica,Luckiest Girl Alive
margaret peterson haddix,Revealed (MPH)
mark twain,The Adventures of Tom Sawyer (Sterling)
anna godberson,The Luxe
randa abdel-fattah,Does My Head Look Big in This?
meyer marissa,Cress
clare cassandra,City of Glass
mead richelle,Spirit Bound
meyer marissa,Cursed
james patterson,Suzanne's Diary for Nicholas
james lee burke,Swan Peak
forest laurie,The Iron Flower
marion zimmer bradley,The Mists of Avalon
jean m. auel,The Clan of the Cave Bear
alex haley,Roots: The Saga of An American Family
jack kerouac,On the Road
adele griffin,Loud Awake and Lost
collins suzanne,Catching Fire
karen m. mcmanus,One of Us Is Lying
dean zoey,Sunset Boulevard
peter shaffer,Equus
philip wilkinson,Early Humans
diana gabaldon,Drums of Autumn
becca fitzpatrick,Silence
neil gaiman,Norse Mythology
s. j. sindu,Marriage of a Thousand Lies
greene stephanie,Sophie Hartley and the Facts of Life
king stephen,Duma Key
walter dean myers,145th Street: Short Stories
rowell rainbow,Any Way the Wind Blows
ellen hopkins,Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass
james patterson,The 9th Judgment
erin gruwell,The Freedom Writers Diary
giles lamar,Not So Pure and Simple
janice lynn mather,Learning to Breathe
king stephen,Firestarter (SK)
bill konigsberg,Honestly Ben
p. c. cast,Hunted
quin tegan,Tegan and Sara: Junior High
c. s. pacat,Kings Rising
melvin burgess,The Hit
king stephen,11/22/63: A Novel
jeff lindsay,Dexter Is Delicious
mora fowley-doyle,All the Bad Apples
wein elizabeth,Code Name Verity
leslie marmon silko,Ceremony
cummins jeanine,American Dirt
ee susan,Angelfall
heather gudenkauf,Little Mercies
a. s. king,Ask the Passengers
jesse andrews,Munmun
alison goodman,The Dark Days Club
christina baker kline,Orphan Train
airth rennie,River of Darkness
ellen labrecque,Who Was Maya Angelou?
jaye robin brown,Georgia Peaches and Other Forbidden Fruit
tyler steven,Does the Noise in My Head Bother You? A Rock 'n' Roll Memoir
duncan alexandra,Salvage
sskind patrick,Perfume: The Story of a Murderer
allen rachael,17 First Kisses
cary kate,Bloodline: A Novel
karen m. mcmanus,Two Can Keep a Secret
geoff herbach,Hooper
kushner elisabeth,The Purim Superhero
rice anne,The Witching Hour
renee watson,Watch Us Rise
betsy cornwell,The Forest Queen
holly goldberg sloan,To Night Owl from Dogfish
chris crutcher,Chinese Handcuffs
peirce lincoln,Big Nate: In a Class by Himself
joyce carol oates,The Assignation
smythe rachel,Lore Olympus: Volume Five
rosie dickins,The Usborne Introduction to Art
robin benway,Also Known As
karen joy fowler,We Are All Completely Beside Ourselves
sarah j. maas,House of Earth and Blood
alison cochrun,The Charm Offensive
beatty robert,Serafina and the Black Cloak
meg cabot,Princess on the Brink
tamaki mariko,Laura Dean Keeps Breaking Up with Me
barbara kingsolver,Pigs In Heaven
c. c. hunter,Born at Midnight
sharon cameron,The Forgetting
cornwell patricia,Predator
alice oseman,Loveless
blake nelson,Recovery Road
jennifer l. armentrout,Meet Cute: Some People Are Destined to Meet
varian johnson,The Parker Inheritance
maggie tokuda-hall,Squad
kat rosenfield,Amelia Anne Is Dead and Gone
cecily von ziegesar,You Just Can't Get Enough
rivera lilliam,Never Look Back
o'connor flannery,The Complete Stories
sara shepard,Perfect
king stephen,Misery
miller chanel,Know My Name
becky albertalli,Leah on the Offbeat
melissa de la cruz,Lost in Time
tupelo hassman,Girlchild
schow betsy,Banished
octavia e. butler,Speech Sounds
hannah kristin,Fly Away
clare cassandra,Clockwork Angel
james haskins,The Scottsboro Boys
john irving,The Cider House Rules
jennifer a. nielsen,Resistance
giles lamar,Endangered (LG)
katie cicatelli-kuc,Going Viral: A Socially Distant Love Story
robin lafevers,Grave Mercy
alexandra villasante,The Grief Keeper
nora roberts,Midnight Bayou
c.s. pascat,Fence: Rivals
kurt vonnegut,Cat's Cradle
garber romina,Cazadora
trudy ludwig,The Invisible Boy
j. d. robb,Portrait in Death
anne enright,The Gathering
mathieu jennifer,The Truth About Alice: A Novel
laini taylor,Strange the Dreamer
rick riordan,The Serpents Shadow
lev grossman,The Magician’s Land
turow scott,Ordinary Heroes
weitz chris,The Young World
dawn sasha,Blink
david levithan,Another Day
king stephen,Wolves of the Calla
todd strasser,Boot Camp
hodkin michelle,The Becoming of Noah Shaw
king stephen,Night Shift
billy merrell,Talking in the Dark: A Poetry Memoir
emezi akwaeke,Pet
kelley armstrong,The Reckoning
deb caletti,Stay
frank herbert,Children of Dune
david arnold,Mosquitoland
naylor gloria,Linden Hills
ellen hopkins,Traffick
richard llewellyn,How Green Was My Valley
rocha lucas,Where We Go From Here
chevy stevens,Still Missing
madison bennett,September Girls
l. harrison,The Pretty Committee Strikes Back
jodie patterson,Born Ready: The True Story of a Boy Named Penelope
houck colleen,Recreated
ibram x. kendi,How to Be an Antiracist
ludlum robert,The Bourne Supremacy
jennifer l. armentrout,Shadows
kurt vonnegut,Slaughterhouse-Five: The Graphic Novel
j.p. ahonen,Sing No Evil
marr melissa,Fragile Eternity
alex london,City of Speed
joy mccullough,Blood Water Paint
francesca lia block,Pretty Dead
geoff tibbals,Ripley's Believe It or Not!: Seeing Is Believing
cyndy drew etler,We Can't Be Friends: A True Story
orson scott card,Xenocide
ward j.r.,Dark Lover
alan moore,Watchmen
ray stoeve,Arden Grey
rick yancey,The Infinite Sea
chuck palahniuk,Snuff
chris crutcher,Running Loose
james patterson,London Bridges
daria snadowsky,Anatomy of a Boyfriend
martyn bedford,Flip
dowd siobhan,Bog Child
heather demetrios,I'll Meet You There
lauren mclaughlin,Send Pics
james dashner,The Scorch Trials
laura sebastian,Ash Princess
katherine sturtevant,The Brothers Story
echols jennifer,Biggest Flirts
larry mcmurty,Comanche Moon
scott westerfeld,Blue Noon
leno katrina,You Must Not Miss
chase paula,So Done
oliver lauren,Requiem
adams douglas,The Hitchhiker's Guide to the Galaxy
ribay randy,Patron Saints of Nothing
shaun david hutchinson,Brave Face: A Memoir
lauren myracle,Rhymes with Witches
jodi lynn anderson,The Vanishing Season
bloom harold,Khaled Hosseini's The Kite Runner
philip k. dick,Blade Runner (do Androids Dream of Electric Sheep)
meehl brian,Suck It Up
ellen hopkins,A Sin Such As This
becky albertalli,The Upside of Unrequited
drew magary,The Hike
deb caletti,A Heart in a Body in the World
raymond chandler,Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window
l.b. tillit,2 Days
margaret peterson haddix,Sent
brian herbert,Dune: House Harkonnen
jodi picoult,Vanishing Acts
geoff edgers,Who Was Elvis Presley?
jim butcher,Grave Peril
john marsden,The Night Is For Hunting
louise o'neill,Asking for It
kacen callender,Felix Ever After
fox elaine,Special of the Day
conor grennan,Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal
barter catherine,Troublemakers
baldwin rosecrans,The Last Kid Left
robert cormier,The Rag and Bone Shop
kate elizabeth russell,My Dark Vanessa
jennifer l. armentrout,Don't Look Back
john green,Paper Towns
maguire gregory,Son of a Witch
grace hannah,Icebreaker
griffin bethany,Handcuffs
abbi glines,Until Friday Night
hobb robin,Royal Assassin
vincent bugliosi,Helter Skelter: The True Story of the Manson Murders
v. c. andrews,Petals on the Wind
rowell rainbow,Carry On
haruki murakami,1Q84
yoon helen,I'm a Unicorn
king stephen,The Drawing of the Three
lore pittacus,The Rise of Nine
tana french,The Likeness
sharon m. draper,Copper Sun
sharon m. draper,Forged By Fire
elizabeth holleville,Summer Spirit
margaret peterson haddix,Caught
jordan robert,Winter's Heart
yang kelly,Room to Dream
